"titles","pros","cons","toceo"
"""개발자가 대우받으며 일할 수 있는 환경이 매우 잘 갖춰져 있음.""","자기개발에 도움 될 수 있는 정직원 대상 프로그램이 내부적으로 다양함. 좋은 사업 아이디어가 있다면 동의를 거친 후, 본인이 직접 기획하고 실현할 수 있게 많은 지원을 해줌. 휴가를 눈치 안 보고 쓸 수 있음.","생각했던 것만큼 수평적인 조직문화가 아님. 하지만 수평적인 문화 도입을 위해 전체적으로 꾸준히 노력하고 조심하는 모습을 볼 수 있음.","좋은 기업문화와 개발자에게 좋은 환경 속에서 일할 수 있어서 좋았습니다."
"""연봉 복지 국내 최고 수준.연봉 상승률은 떨어지지만 어마어마한 인센티브로 유지""","연봉 복지 우수한 인적 자원 확실한 캐시카우가 있어서 매출 수익걱정 없음","실행력없는 꼰대들 많음 인사팀 이상함
신규사업 성공사례 거의 없음","공정하고 투명한 인사제도 구성원 커리어 육성 신경써주세요"
"""회사는 좋은 회사입니다. 복지 나 이런건 최고죠..""","복지가 좋고 자기개발에 도움되는 교육 및 세미나등 많음","관련 부서가 많아서 먼가 일이 잘 진행되지 않고
딱 책임지는 사람이 없음 ..","수평적인 조직을 추구하면 정말 수평적인 조직 체계를 갖추었으면 함
한팀에 20명씩 있고 이런 구조로 수평적이고 빠른 조직이 되지 않음"
"""업무량이 과중한 편이며 정해진 콜수 콜타임을 강조하다보니 힘들었습니다.""","대기업이라 복지가 좋은편이며 상위 영업자는 보상이 잘 이루어지는 편이며, 상여금등의 제도가 잘 갖춰져 있습니다. 그리고 체계적인 교육이 이뤄지는 편입니다.","영업업무로 일정량 이상의 목표량을 달성하지못하면 퇴근이 어렵고 상사의 눈치를 많이 봐야 했습니다. 영업조직이기에 당연한거지만 하루하루 목표량이 달성되지 않으면 퇴근에 눈치를 봐야했습니다.","상사와 사원간의 인격적인 존중이 이뤄졌으면 좋겠습니다."
"""네트워크 계통으로 경력 올리기엔 한국에 이보다 나은 기업이 있을까""","교육 커리큘럼과 연봉, 복지 뭐 하나 빠지는게 없음. 통신비 지원, 휴대폰 매번 바꿔주고 통신사 포인트도 엄청나게 나옴. 연봉 외적인 부분이지만 실 지출 부분에 상당히 들어갈 수 있으므로 사실상 연봉은 훨씬 높음","그러니 그만큼 일을 많이 시킴. 능력이 되면 그만큼 쾌적하게 일하겠지만, 안된다면 다니면서 적당히 공계열로 이직을 준비하는게 낫지 않을까 함. 물론 지금 다니고 있는건 아니지만, 바닥이 바닥인지라 더 치열해질거라 예상.","아무래도 반독점이라 그런지 경영진에선 현상유지가 최선이라 생각함. 과감한 해외시장 진출이라던지 기술 쇄신 등 어느정도 리스크를 감수하고 계속 발전해야한다고 생각."
"""직원들에 처우가 매우 좋고 최대한 수평적인 구조를 유지하려고 노력하는것 같습니다.""","야근비 및 보상 처우가 좋음
좋은 근무지 환경을 가지고 있습니다","보고서가 좀 많습니다.
내부적으로 조직변경이 많아서 회사명이 바뀔까 불안합니다.","근속년수 오래다닐수 있도록 많이 도외주세요
변화도 조금 진행해 주세여"
"""충분한 보상이 매력적인 회사임. 폭넓은 업무를 경험해 볼 수 있음.""","무엇보다도 성과급이 매력적임. 그 외 다양한 복지 시스템을 잘 갖추고 있음. 다양한 업무를 경험할 수 있고, 원하는 부서에서 일을 해 볼 기회도 (다른 회사에 비해)쉽게 가질 수 있음.","보고, 문서위주의 업무문화.
실행력보다는 보고와 비전제시를 중시하는 기업 문화. 주로 외부의 조력을 받아서라도 빠른 결과를 내는데 더 집중하는 기업입니다.","큰 기회만 노리면서 작은 기회들을 흘려보내지 않았으면 합니다. 제 생각엔, 서비스 출시 이후 지속적으로 가꾸어 나갔다면 현재 더 좋았을 서비스들이 많았습니다."
"""튼튼한 회사, 좋은 복지, 통신계 1위 기업""","주니어 시절부터 오너십을 가지고 업무를 추진하기에 좋은 문화를 가지고 있으며, 안정적인 수입을 확보하고 있는 기업이기 때문에 각종 복지 등 워라벨이 훌륭함","시니어로 올라갈 수록 적체되어 있는 인력이 많고, 승진 기회가 많지 않기 때문에, 연차가 높아질 수록 업무 강도가 세지고 힘들어짐","통신업체라면 통신업에 더욱 선택과 집중을 하는 모습을 보여주면 좋을 것 같으며, ICT 서비스를 추진하려면 IT 답게 시간과 비전을 가지고 추진을 하는 모습을 보여주면 좋을 것 같음"
"""철밥통으로 핸드폰 팔 수 있는 곳. 단, 줄을 잘못서면 언제든지 구설수에 오를 수 있음.""","철밥통임. 절대로 먼저 잘리지는 않음. 최대한 자택에서 가까운 곳으로 배정해주려고 함.","배정해주려고 한다고 했음. 무조건이라고 안함. 집이 인천인데 김포까지 출근했었음. 급여는 최저급여비준으로 되지만, 컴플레인관련해선 모두 직원 급여에서 차감됨.","제발.. 적당히 해쳐먹길 바람.. 요즘 케이스 저렴하고 이쁜 것 널렸는데 법인비 쥐꼬리만큼 주고 자회사에서만 사라고하면 어떻게 운영함... 제발 답좀 찾아주셈..."
"""다른 회사 혹은 동종업계에 비해 월급 등의 복지가 괜찮음""","조직문화가 딱딱하지 않고 워라벨도 괜찮으며, 약간 공기업적인 마인드도 있어
직원의 입장에서는 괜찮음","전체적으로 직원들의 연령층이 높고, 내부직원의 승진의 기회가 그렇게 많지 않다고 생각합니다.","현재 경영진에게 특별히 바라는 것은 없습니다."
"""연봉과 복리후생이 국내 최고 수준
사내 문화와 시스템도 긍정적으로 바뀌는 중""","2주 80시간의 자율 출근제, 복리후생, 최고 수준 연봉","업무가 1년 단위로 리프레쉬됨, 기업 분할이나 분사 소문이 반복되어 은근 스트레스","시스템은 개선되어야하고 기업 분할 소식은 언론에 흘리기를 그만했으면"
"""대한민국 통신사 업계 1위 기업으로서 매니지먼트 능력을 키울 수 있음.""","다양한 장치를 적용하여 기업문화를 젊게 바꾸어 가려고 노력함. 안정적인 직장. 사내 분위기가 좋음.","기업문화를 바꾸려고 노력은 하고 있으나 아직은 변화기 위해 시간이 많이 필요할 것 같음.","팀 분위기의 장단점을 판단하고 그 개선 방법에 신경써주면 좋겠음."
"""성장정체로 통신사가 아닌 피이에프가 되어가고 있는 회사""","수평적인 분위기와 높은 연봉 좋은 복지 및 높은 안정성","비합리적 의사결정 일 안 하는 잉여인력 위기의식 부족","본질에 충실할 수 있는 회사가 되길 ... 임원진이 너무 많음"
"""3사 통신사중 제일 나음. 통신가입자가 현 통신시장의 과반수를 차지할정도임.업무내용이 쉬움""","SK/KT/LG 중 인지도가 가장 높음. 찾는 고객층이 많고 기업 신뢰도가 높음.상대적으로 영업하기가 편함","현장직 인센티브가 낮은편임.
회사의 업무구조가 구식인 부분이 있음.
자질구래하게 손이가는 일들이 많은편","현장직들의 고충과 급여체계부분을 개선해주세요.
요즘같은 Cool식당에서는 생계가 어려울 정도로 힘듭니다."
"""자유로운 분위기, 역시 1등 통신사 입니다.
S기업은 역시 SK
소통하는 기업문화가 마음에 드는곳""","자유로운 분위기, 호칭 통일, 위계질서가 덜 함,성과에 대한 보상 확실","앞으로 미래를 위해 더욱 노력해야하는 통신업 인 것 같다.
개발자들을 위한 많은 채용을 해야하며,
외부영입인사보다는 내부에서 실력을 키울수 있도록 해야할거같습니다.","더 발전할수있는 회사가 될수있도록 해주세요"
"""전반적으로 좋은 회사입니다.
....""","연봉 높고 상대적으로 수평적입니다.
임원의 파워가 셉니다.","보고서 작업이 많아서 힘든 부분은 있지만...
그런것 빼고는 좋습니다.","보고서만 줄여 주세요.
화이팅입니다."
"""시키는 일이 아니라 하고 싶은 일을 만들어 할 수 있는 곳. 쉽지만은 않지만 윗 사람을 설득할 수만 있다면 큰 일을 만들 수 있음.""","직원에 대한 존중이 장점. 사내 설문 조사가 많음. 다양한 경로로 의견을 수집하여 반영하는 문화가 있음.","조금씩 바뀌고 있기는 하지만, 지나치게 안정적인 수익모델을 갖고 있기 때문에 보수적인 문화가 존재함.","성공할 때까지 밀어주는 문화를 만들면 좋겠음. 잠깐 시도하고 포기하는 일을 반복해서는 회사도 사회도 손해라고 생각함."
"""보수와 진보적인 면이 함께하는 곳 어느 장단에 맞춰야?""","자기계발 기회가 많고 연차쓰기에 적당한 부담이 있음/ 워라벨 향상을 위해 노력하는 중 / 하지만 정작 쓸 시간은 없다","야근이 잦고 힘들다 / 부장이 꼰대같고 은근한 강압이 많아 스트레스 / 야근@!!","나름 점점 변화하는 게 느껴져서 좋았다."
"""복지, 급여, 분위기 등 최고의 회사. 대기업 중에서도 최고같음""","연봉 꽤 높은 대기업. 복장 자유로움. 호칭도 매니저로 수평적 분위기임, 휴가나 교육 등의 복지제도가 잘되어 있음. 유연근무제 도입으로 출퇴근시간 조정가능. 핸드폰요금 지원 등등","개인주의적 분위기, 능력 제일주의, 계속 자기개발 해야 살아남을 수 있을 듯. 인사이동 잦음. 한가지 일보다 여러가지 일을 잘할 수 있어야 될 듯","노조의견 잘 들어주는 것 같고 복지가 좋아서 직원들 애사심이 깊으니... 새로운 시장만 잘 개척하면 좋을듯"
"""기업문화도 좋고 너무나 만족함
동료들도 경쟁을 하지만 싸우거나 시비가 없음""","월급이 좋고! 그렇다고 야근이 많은 것도 아님
자기개발을 위한 시간도 충분","딱히 생각나는 단점은 없지만
나이드신 분들이 많아서.. 조금 낡은 아이디어가 나옴","지금처럼 계속해서 발전하는 그룹이 되길바랍니다!
다녔다는 것에 만족을 느낌"
"""연봉과 복지가 좋고 기업 분위기도 수평적인 편입니다. 똑똑한 사람들이 많이 모여있다는 느낌을 받습니다.""","연봉과 복지, 그리고 같이 일하는 사람들이 똑똑하다는 점이 장점으로 느껴집니다.","메인 사업이 성장성이 더디다보니 신사업을 여럿 추진했으나 장기적인 관점에서 기다려주기보다는 빨리 접는 경향이 있습니다.","IT에 대한 충분한 이해도를 갖추고 장기적 관점에서 의사결정할 수 있는 리더가 더 늘어났으면 합니다."
"""우리나라 최고의 통신회사, 더 이상설명이 필요없는 회사.""","무엇보다 높은 수준의 연봉, 복리후생
우리나라 최고의 통신회사에서 근무한다는 자부심.
통신비 공짜!!!!","단순한 보고를 위한 문서 작업이 많은듯,
야근이 많다......","경영진에 바라는 점은 없음, 이대로만 해줫으면 소원이 없겠습니다."
"""자유로운 분위기에 복지 최상급!
하지만 다음 먹거리를 찾아야하는 과제가 있음.""","안정적인 사업분야.
자유로운 조직문화.
직원복지가 좋음.","넥스트 비지니스 모델을 찾아야 하는 과제.
예전보다 못한 통신업.(각종규제)","다음 먹거리에 대한 투자와 글로벌에 대한 투자도 아끼지 않았으면 합니다."
"""사내복지는 그럭적럭 괜찮음 오래다닐곳은 되지 못함""","요금할인 되는거 말고는 딱히 없음 연차쓸수잇고 출퇴근시간은 정상적임","부서내 텃세가 너무 심함 계약직이라 어쩔수없는 차별을 겪게됨","망할것 같지는 않고 내부직원관리를 철저히 했으면 한다"
"""자신이 열심히만 한다면 매장 몇개쯤은 운영할 여건이 생기게됨 .""","일 하는 시간이 매우 프리하게 돌아감 .
근무 환경은 우수한 편임 .
정시 칼퇴근 할수있음 .","제일 큰 문제는 휴무. 이탈하는 근무자들이 많다보니 내가 땜빵으로 메꿔야하는 날들이 생김 .
새로운 직원들이 매우 많음 .","분기마다 설문조사가 필요함 . 근무환경과 개선될점 ,"
"""대기업이라고 할 수 있는 분위기, 위치, 복지, 기타 부대 시설이 좋다. 다만 개인주의가 심함.""","근무유연제 실시하며, 슈퍼프라이데이(3째주 금요일) 3시 퇴근 권장, 연차 및 휴가 사용이 자유롭고, 업무를 충실히 하면 개인 시간 활용해도 눈치 보지 않음. 개인 공간 및 시간 보장. 회식 문화 9시 이전에 마무리하는 분위기. 개인 존중, 복지는 말할 것도 없이 지원이 좋음(정직 기준 휴대폰비 20만원 지원). 직급 없음.","업무량이 많고 대기업 치고 체계가 잡혀있지 않음. 회사 평균 연령이 높음. 신입사원보다 경력사원이 더 많음. 기업 이미지에 비해 직무에 전문성이 떨어짐. 팀에 따라 개인주의가 심함 정도가 있음. 다들 돈을 많이 벌지만 짠돌이 기질이 다분함.","방향성을 정확히 할것. 선도하는 기업이었으면 좋겠음."
"""확고한 수익기반을 가지고 있지만, 어떤 미래 먹거리를 가져가야 할지 고민이 많고 여러가지 시도를 하고 있음""","개인 흥미와 적성에 따라 비교적 자유로운 부서이동 문화
업무강도에 비례하는 금전적보상, 단 최근 W&L Balance 다양한 개선이 시도되고 있음
기술직 재직시 전체 이동통신망을 아우르는 경험을 쌓을 수 있음","엔지니어라기 보다 관리자로 성장하게 되는 업무환경으로 인해 향후 이직 고려시 선택지가 많지 않을듯
역피라미드형 인력구조","새로운 성장 기동력을 발굴, 이동통신분야를 넘어 ICT분야 메인플레이어가 되었으면"
"""현재에 만족하면서 다니고 싶다면 추천하는 회사. 성장가능성은 높지 않음.""","스태프쪽 사람들은 똑똑함. 사업부서에 고연차 인원들은 답답할 수 있음.","너무 똑똑해서 문제가 되는 경우가 많은 것 같음. 정체된 회사.","증원이 너무 많은 편임. 기존 사업에 충실했으면 좋겠음."
"""계약직으로 부담없이 다니기엔 좋아요.""","연차도 편하게 쓸 수 있고 계약직이라면 자기 일 마치면 칼퇴할 수 있어서 좋습니다.","정규직 전환이 안되는 것이 가장 큰 단점인 것 같습니다.","잦은 회의로 인하여 업무내용이 너무 자주 변경되는 것이 단점입니다. 저희에게 전달이 잘 되자 않아 업무하는데 어려움이 있었습니다."
"""대표적인 ISP업체로써 최고의 기술을 보유하고있고 매니지먼트가 훌륭하다.""","수평적인 분위기를 추구하려고함, 본사에서 혁신적인 기업문화를 창출하려는 노력이 다분함. 또한 SK그룹사답게 복지가 좋으며 안정적인 회사생활을 할 수 있음","보고를 위한 문서작업이 많으며, 혁신적인 기업문화는 본사에서 부터 내려오기 때문에 전사적으로는 적용이 느린편임. 경영진은 생각보다 보수적임","직원들의 피드백을 수렴하려는 자세는 갖추어져 있으나, 적극적으로 수용하려는 생각은 작아보임"
"""대기업이 대기업인 이유를 알 수 있음. 개발자에 대한 대우 확실""","사내 분위기가 좋고 회식자리 술 강요 안함 서로를 존중하는 문화를 서로가 만들어감","월급은 많지만 평균 퇴근시간은 늦은 편 군대문화가 조금은 보이긴 함","사내 문화를 더욱 활성화해주었으면 하는 것 외엔 바라는 점은 딱히 없음"
"""정규직은 정말 복지 빵빵하고 급여 빵빵하고 노사 탄탄해 야근 적고 좋은 직장인 듯하다.""","헬스장이 지하에 있어 집에 가기 전에 들렸다 운동 하고 바로 지하철역으로 가기 쉬움. 휴가가 많고, 복지포인트 많음. sk쓰면 휴대폰 요금 지원해줌. 아침은 무료","계약직은 정규직 급여 반도 못 받음.전문계약직은 예외. 의료비 지원도 계약직엔 해당 안됨. 인사팀은 너무 자기 밥그릇만 챙김","근속연수 10년 이상된 사람은 근무 평가 제대로 해서 아랫 사람만 일하게 만들지 않게 하길.."
"""체계가 있고, 직원들이 좋습니다. 균형있는 자기 생활하기 좋습니다.""","다소 루틴하지만, 안정적이고 복지가 좋습니다. 오래다니기 좋습니다.","회의가 많고, 수평적이라기보다 수직적인 부분이 있습니다.","성장하기보다는 늘 그자리에 있는 사업을 하는 것 같습니다. 좀 더 진취적으로"
"""업계 1위같은 혜택과 대우! 수평적인 분위기를 추구하는 시대에 맞춰 대우할라고 노력함.(노력)""","나만일지 모르겠지만 연차를 눈치 안보고 썼음, 연봉이 좋은 편임, 식당이 진짜 맛있다. 복지도 괜찮은 편인듯 !","일이 많고 아무래도 대기업이다 보니까 자신이 원하는 방향대로 아이디어를 이끌고 갈 수는 없는것 같다.","계약직이였어서 별로 그렇게 경영진한테 바라는 점은 없지만, 사업 진행하는걸 옆에서 지켜보니 뒷심이 부족한 것같아보인다. 다들 처음엔 으샤으샤 추진하다가 끝이 흐지부지 끝나는 것들이 많은듯"
"""대기업으로 치면 나쁘지 않습니다. 그래도 생각보다 수평적이진 않습니다. 연봉이 높지만 그 만큼 일이 많습니다.""","자유로운 출퇴근 시간.
교육세미너가 많음.
자유 복장.","평균연령은 생각보다 높음.
인턴 사원으로 대부분 아무도 신경 안 씀.","통신사에서 벗어나서 Tech company로 나갈 의도가 보임."
"""대기업답게 구성원 복리후생 좋고, 전반적으로 무난한 업무분위기""","1. 자율근무제 시행 후 2주 80시간만 채우면 되는데 2주 되기 전에 80시간 다 채웠을 시 연차 사용 없이 하루 또는 이틀정도 쉴 수 있음

2. 수평적인 분위기 만들기 위해 노력하는 것 같음(호칭 등)

3. 자율복장(남자 반바지 가능)","1. 대기업인데도 불구하고 수동으로 처리해야되는 업무가 은근 많음

2. 현업에서 인수인계가 제대로 되지 않는 듯 함 검토부서에 연락해서 물어보는 사람 많음
> 어떻게 처리해야되는지, 어떤 계정을 쓰는지 문의가 제일 많음

3. 체계적으로 관리하기 위해 각 담당자가 정해져있는 것 같으나, 담당자가 정확하게 나와있지 않을 경우 매번 확인해야되는 번거로움 있음","전문계약직은 대부분 지인통해서 들오는 경우가 많은 듯"
"""라인을 잘타야하며, 나의 여가가 없음.
본사에 정규직 마케터가 아니면 소용없음 대리점은 그냥 대리점 소속일뿐.""","일하면서 몸을쓰거나 고된일은 없음. 호칭이 본사,본부,대리점
통칭 매니져로 통해서 복잡하지 않음.","대리점에서 일할것이라면, 대리점도 잘만나야함.
복리후생,급여 다 제가각에
실적으로 피를 말리는곳도 있음.","구조조정 적당히좀 했으면 합니다.
본부생활 하다가 본사에서 이상한짓 하나하면
그대로 목아지 날아가버리네요."
"""복지와 조직문화가 매우 좋으며 구성원의 만족도도 높다.""","복지와 높은 연봉, 자부심, 유연한 조직문화, 수평적인 커뮤니케이션, 사기업 중에 최고라고 생각한다.","보고서 작성이 매우 중요하게 여겨진다. 실질적인 성과에 집중하는 것보다 보고, PR에 치중하는 느낌이 있다.","과거 실패 사례에 붙잡혀 색안경끼는 것이 아니라, 신규 사업 많이 격려하고 지원해줬으면!"
"""발전하기 위해 노력하는 곳. 불필요한 것들을 최소화 하기 위해 노력함""","지역 마다 다르겠지만, 제가 있던 곳은 식비 주고 구내식당 잘 나오고 일할 때 눈치 안 보고 쉴만큼 쉬면서 일할 수 있었습니다. 불필요한 서류 없고 점점 일 처리 자체가 편리하게 변하는 것 같아보였어요","계약직이라 기업 전체적인 것은 알 수 없었으나 기사에 나오듯 부당전근 같은 경우가 있었습니다.","제가 일 했던 곳은 모두 좋은 사람들 뿐이었습니다. 그런 사람들이 그런 여유와 프라이드를 계속 가질 수 있도록 위에서 복지나 처후를 꾸준히 잘 해줬으면 좋겠어요."
"""신입부터 규모가 있는 일을 스스로 기획하고 이끌어 나갈 수 있는 곳임. 하지만 큰 수익이 발생하고 있는 환경으로 인해, 대부분의 일들에 대한 기대치가 높아 성공으로 끝나는 경우가 별로 없어 성취감을 얻기가 어려움.""","규모 있는 일을 총책임지고 이끌어 갈 수 있는 기회가 많아서 스스로의 노력에 따라서는 의미있는 경험을 많이 할 수 있음. 급여가 높아서 비교적 삶의 여유를 가질 수 있음","안정된 수익을 얻지만 새로운 시도가 어려운 상황으로 인해, 일을 하는데 있어서 역동성이 떨어짐. 전반적으로 정치적인 요소가 다분히 많아 승진을 할 수록 일 외적인 부분에서 어려움이 많을 수 있음.","새로운 서비스를 시도함에 있어서 자율적인 경쟁 환경을 제공해서 작은 것이라도 자생적으로 만들어 질 수 있는 환경을 제공할 필요가 있음."
"""연말정산에 대한 시스템과 개념을 확실하게 이해시켜준다.""","1.사람들이 좋다.
2.일을 잘 가르쳐준다.
3.출퇴근시간","1.수직적 문화가 존재하는거같다.
2.보수적이다.
3.군대식 문화","솔직하게 나는 지금이 좋다고 생각한다. 일도 많이 배울수 있고 인원도 꾸준하게 늘어나는것 같다."
"""공기업같은 사기업. 말은 이리 하지만 다녀본 회사중에 제일 좋은 회사중 하나다.""","복지가 좋아 마음 편안하게 일할 수 있다. 가정의 행복을 꿈꾸는 30대 후반, 40대 가장에게 좋은 직장일 듯","1년단위로 단기적으로 일이 진행되고, 보고서위주의 결과물이 잘 나오면 실체는 버려지는 경우가 많다.","더 긴 호흡으로 진짜 일을 하면 좋겠다."
"""높은 연봉에 워라밸이 훌륭한 대한민국에서 직장으로 근무하기 정말 괜찮은 곳임""","경직되지 않은 조직 문화와 주40시간 근무제 정착으로 인한 워라벨 추구가 가능함. 연봉수준이 높은 점또한 장점","레가시 이통사업을 제외하고 미래지향적인 먹거리가 마땅치 않음. 현 수준 이상의 회사로 발전할 가능성은 앞으로 지켜봐야 할 듯.","단기목표에 얽매이지 않고 장기적 관점에서 회사의 방향성과 관련한 의사결정을 해 주셨으면 함."
"""대한민국 최고의 직장이자, Work and Life Balance가 훌륭한 곳.""","훌륭한 사내 복지와 2주 80시간의 자율적인 근무형태, 관심 분야로 자유로운 이동이 가능. 똑똑한 사람들이 많아 배울 것이 많은 직장","기존 Cash Cow였던 MNO 비즈니스의 수익성이 둔화되고 있으나, 이를 대체할 만한 신규 Biz.가 아직 명확하지 못한 상태","변화와 혁신을 위해 다양한 시도를 많이 하고 있는 것은 바람직하며, 구성원들의 이야기를 들으려는 것도 훌륭한 태도라고 생각"
"""스크의 캐쉬카우를 담당하는 기업, 수익창출 구조도 안정적이고 스크만의 혁신적 조직문화가 인상적이었다.""","수익 구조가 안정적이고, 직원들 개발을 위해서도 많은 투자를 하는 듯, 팀 분위기도 좋았고 대기업이라는 특징상 수평적인 문화도 상당부분 존재하였다.","오래 근무하지 않아서 단점은 잘 모르겠지만 확실히 학벌이 중요한 것은 맞는 것 같다. 다만, 학벌이 다는 아니고 능력에 따라서도 일부 채용되는 것은 맞는 것 같다","이것도 오래 근무하지 않아서 잘 모르겠지만 좋은 것 같다."
"""부서마다 차이가 상당히 많은 편이며 좋은 부서 배정 시 꿈의 직장이라고도 느낄 수 있으나, 좋지 못한 부서를 배정 받을 경우는 사람들과의 감정소모가 심함. 개발자를 뽑고 매니저를 만드는 회사임""","자율출근, 2주 80시간, 충분한 보상, 국내 최상의 복지, PM의 지위에서 기술을 전체적으로 바라볼 수 있음.","조직과 업무의 변경이 잦아 개발자의 경우는 커리어 변경 가능성이 매우 크므로 신중하게 결정해야 함.","외주 base로 하는 것은 좋으나 실력있는 개발자들을 뽑고 육성하는 정책을 게을리 하지 않았으면 함."
"""직장의 무덤. 업무 강도는 삼성보다 낮으나 복지는 훨씬 좋음. 그러니 한번 들어가면 나오기 싫어하는 기업임.""","윗사람 눈치 보지 않고 의견 개진 및 사업 추진 가능한 기업문화는 훌륭하며, 신규 비지니스 모델에 항상 관심을 가지고 있음","경영진이 자주 바뀌어 신규 사업을 성과를 내면서 추진하기에는 제약이 있고 조직 개편이 매년 이루어져 매년 불안해함.","신규 사업의 경우 적어도 3년에서 4년를 보고 의사결정 바람. 잦은 조직 개편은 노는 사람들을 만들음."
"""역시나 기업문화 좋고 일하기 편한 직장""","뭐니해도 대기업인 만큼 급여가 역시나 좋고 성과급 많구요. , 복지도 좋구요
자기계발의 기회도 부여하고 IT 회사 답게 조직이 젊어서 활기 찹니다.","단점이라면 조직이 아무래도 너무 커서 그런지 몰라도 팀원들간의 정이 없다고 해야할까요? 수평관계가 오히려 정이 없는 조직 같아 보여서 안좋네요.","많은 채용 바랍니다. 최근에 호칭이 사라졌다고 하던데요. 호칭 보다는 서로 존중하는 마음이 더 필요해 보입니다."
"""분업이 확실하고 계습차가 확실한 곳. 복지가 좋고 안정적인 월급을 원하면 추천이나 은근한 차별이 많음""","연차를 타회사에 비해 자유롭게 쓸 수 있음. 복지가 잘되어 있어 사내도사관에사 신권들도 자유롭게 볼 수 있고 제휴팬션도 많지만 휴가철에는 연차로 밀려 휴가철 피해서 쓰면 쓸만함. 업무 분업화가 잘되어 있음","업무 분업화가 잘 되어 있지만 다른 사람에게 물어보거나 도움받기 힘듬. 스스로 해결해야하고 해결하지 못하면 다 감당해야함. 하지만 본인들 잡무는 떠넘길려는 시도를 많이 함. 대기업이라는 자부심이 넘침.","딱히 없고, 정규직이라도 본인 업무는 본인들이 했으면 좋겠다"
